代码,名称,信号日期,策略类型,信号价,当前总涨跌,平均表现,首次盈利天数,首次亏损天数,持仓天数,走势流,风险预警
000533,顺钠股份,20260208,E_Leader_Restart (二次启动),11.25,-15.91%,17.78%,1,3,94,++-+++++++-++++++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++-------------------,深度套牢 | 冲高回落
600481,双良节能,20260208,E_Leader_Restart (二次启动),10.51,-55.57%,-37.19%,1,2,94,+--+------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
601098,中南传媒,20260104,B_Low_Position_Start (低风险埋伏),11.26,-9.24%,-2.37%,1,10,113,++++-+-++-----------+---------------------+---------------------------+++++++++-++-------------------------------,冲高回落
002361,神剑股份,20260104,E_Leader_Restart (二次启动),14.34,-0.91%,8.78%,2,1,119,-+++++++++--------------+++----+----------------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++----++++-,冲高回落
603332,苏州龙杰,20260104,E_Leader_Restart (二次启动),13.88,-21.83%,-5.33%,11,1,118,----------++++++-------+++++-++++--------+-++++--------------------++++++++++++++++++++-------------------------------,深度套牢 | 冲高回落
002995,天地在线,20260123,E_Leader_Restart (二次启动),21.64,-17.61%,9.71%,1,34,104,+++++++++++++++++++++++++++++++++-+++-+++++++++++++++++++++-+++++++++++++------++++++-+++-+-------------,深度套牢 | 冲高回落
603916,苏博特,20260123,E_Leader_Restart (二次启动),12.06,9.37%,4.64%,1,9,104,++++++++-+++++++++++-----------------------------------------++-++++++++++++++++++++++++++++++++++++++++,正常
600841,动力新科,20260123,E_Leader_Restart (二次启动),7.7,-12.86%,10.32%,1,34,104,+++++++++++++++++++++++++++++++++-+++++++++++++++++++++++++++++++++++++++-------+-----------------------,深度套牢 | 冲高回落
000045,深纺织Ａ,20260123,E_Leader_Restart (二次启动),13.28,-24.40%,-8.74%,1,2,104,+----------------+--------+----++---++++++--------------------------------------------------------------,深度套牢 | 冲高回落
600601,方正科技,20260531,A_Strong_Pullback (中风险接力),13.43,12.58%,-1.31%,11,1,24,----------+++++--+--++++,正常
000791,甘肃能源,20260531,E_Leader_Restart (二次启动),9.84,-21.24%,-12.85%,2,1,24,-++---------------------,深度套牢 | 冲高回落
601390,中国中铁,20260127,C_New_Strategy (最高共振),5.8,-26.21%,-10.41%,2,3,102,-+-----------+++++++++-++++---------------------------------------------------------------------------,深度套牢 | 冲高回落
603078,江化微,20260127,E_Leader_Restart (二次启动),29.4,91.36%,1.76%,68,1,102,-------------------------------------------------------------------+++++++++++++++++++++++++++++++++++,正常
000670,盈方微,20260127,E_Leader_Restart (二次启动),9.91,-25.83%,-15.86%,75,1,102,--------------------------------------------------------------------------+---------+-----------------,深度套牢
002658,雪迪龙,20260127,E_Leader_Restart (二次启动),10.44,-20.40%,-12.79%,9,1,102,--------++---++++++++++++-----------------------------------------------------------------------------,深度套牢 | 冲高回落
603138,海量数据,20260127,E_Leader_Restart (二次启动),17.83,-22.27%,5.12%,1,2,102,+------++++++++++++++++++++++++-+++++++++++++++++++++++++++++++++++++++-+-------++--------------------,深度套牢 | 冲高回落
603883,老百姓,20260127,D_Strong_Breakout (高风险追涨/优化),16.44,-30.23%,-18.78%,从未,1,102,------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002579,中京电子,20251213,A_Strong_Pullback (中风险接力),11.89,64.59%,15.27%,1,2,132,+----+-++-+++++++++++++++++++++------------+++++--++-+++++++++-++----++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++,正常
002235,安妮股份,20251213,E_Leader_Restart (二次启动),12.85,-27.55%,-20.20%,1,2,131,+----------------------------------------------------------------------------------------------------------------------------------,深度套牢
002725,跃岭股份,20251213,E_Leader_Restart (二次启动),19.08,-35.27%,-18.63%,从未,1,132,------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
000048,京基智农,20260614,E_Leader_Restart (二次启动),18.91,12.32%,9.39%,2,1,14,-++-++++++++++,正常
603703,盛洋科技,20251221,E_Leader_Restart (二次启动),14.75,-25.08%,-7.15%,10,1,127,---------++++++++++++++++++--++--+-----++++------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603123,翠微股份,20251221,E_Leader_Restart (二次启动),13.98,-41.06%,-16.74%,30,1,110,-----------------------------+--------------------------------------------------------------------------------,深度套牢
002355,兴民智通,20251221,E_Leader_Restart (二次启动),6.43,-31.73%,-3.29%,1,8,110,+++++++------+++++++++++++++++++++++++++++++++++--------------------++++++++++--------------------------------,深度套牢 | 冲高回落
603221,爱丽家居,20251221,E_Leader_Restart (二次启动),13.55,-20.96%,-9.22%,9,1,127,--------++++----+-++-++--------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002510,天汽模,20260110,E_Leader_Restart (二次启动),7.79,-25.80%,-9.18%,1,2,110,+-+-++++++----------++++++--++++++-+--------------------------------------------------------------------------,深度套牢 | 冲高回落
002023,海特高新,20260110,E_Leader_Restart (二次启动),14.85,-14.48%,-17.59%,1,2,114,+-----------------------------------------------------------------------------------------------------------------,深度套牢
600830,香溢融通,20260110,D_Strong_Breakout (高风险追涨/优化),9.88,-17.21%,-7.24%,1,2,114,+-------++----------+-------+----------------------------------------+++++++++++++--------------------------------,深度套牢 | 冲高回落
002871,伟隆股份,20251219,A_Strong_Pullback (中风险接力),15.74,32.40%,23.66%,1,从未,127,+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
603057,紫燕食品,20251219,B_Low_Position_Start (低风险埋伏),18.97,24.72%,41.87%,1,40,110,+++++++++++++++++++++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
000546,金圆股份,20251219,E_Leader_Restart (二次启动),6.8,-27.79%,-8.43%,1,6,127,+++++--------++-------+-----------------+---------------------+-----------++----+++++++++++++----------------------------------,深度套牢 | 冲高回落
600589,大位科技,20260221,E_Leader_Restart (二次启动),13.19,-27.22%,-16.01%,53,1,89,----------------------------------------------------+----+-------------------------------,深度套牢
001330,博纳影业,20260221,E_Leader_Restart (二次启动),12.77,-57.01%,-39.10%,从未,1,89,-----------------------------------------------------------------------------------------,长期未回正 | 深度套牢
603703,盛洋科技,20251220,E_Leader_Restart (二次启动),14.75,-25.08%,-7.15%,10,1,127,---------++++++++++++++++++--++--+-----++++------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603123,翠微股份,20251220,E_Leader_Restart (二次启动),13.98,-41.06%,-16.74%,30,1,110,-----------------------------+--------------------------------------------------------------------------------,深度套牢
002355,兴民智通,20251220,E_Leader_Restart (二次启动),6.43,-31.73%,-3.29%,1,8,110,+++++++------+++++++++++++++++++++++++++++++++++--------------------++++++++++--------------------------------,深度套牢 | 冲高回落
603221,爱丽家居,20251220,E_Leader_Restart (二次启动),13.55,-20.96%,-9.22%,9,1,127,--------++++----+-++-++--------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
000739,普洛药业,20260114,C_New_Strategy (最高共振),17.79,2.53%,-1.14%,1,2,111,+-+++++++++++++++++++++++++-----++++++++------++++--+-+--++--+++++++++--+++-----------------------------------+,正常
002519,银河电子,20260114,E_Leader_Restart (二次启动),10.42,-42.90%,-23.86%,24,1,111,-----------------------+---------------------------------------------------------------------------------------,深度套牢
000892,欢瑞世纪,20260114,E_Leader_Restart (二次启动),8.61,-60.28%,-33.18%,19,1,111,------------------+++------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002354,天娱数科,20260114,E_Leader_Restart (二次启动),7.74,21.06%,-12.08%,1,2,111,+--------------------------------------------------------------------------------------------+++-----++++++++++,正常
002858,力盛体育,20260114,E_Leader_Restart (二次启动),17.1,-35.03%,-12.64%,23,1,111,----------------------+----------------------------------------------------------------------------------------,深度套牢
002181,粤 传 媒,20260114,E_Leader_Restart (二次启动),10.5,-10.86%,24.57%,1,3,110,++-++++++++++++++++++++++------+++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--------,深度套牢 | 冲高回落
600152,维科技术,20260114,E_Leader_Restart (二次启动),8.07,15.74%,31.78%,16,1,110,---------------++----+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
000066,中国长城,20260114,E_Leader_Restart (二次启动),16.14,6.01%,7.03%,1,12,111,+++++++++++--+---++-+++++++----++++++-+------------------------+++++++++++++++++++++++++++++-+---++++++++++++++,正常
